Year,Month,Prec_Cape,Prec_Accra,Prec_Kumasi
2016,1,0.309375,0.03125,0.03125
2016,2,1.416666667,0.066666667,0.106666667
2016,3,4.846875,6.2375,4.3375
2016,4,3.112903226,1.748387097,4.403225806
2016,5,2.94375,4.903125,3.8625
2016,6,8.8,7.938709677,5.209677419
2016,7,0.959375,1,3.596875
2016,8,1.3625,0.834375,1.971875
2016,9,3.219354839,3.509677419,10.90645161
2016,10,1.634375,5.184375,6.85625
2016,11,0.509677419,0.467741935,2.419354839
2016,12,0.434375,1.58125,1.125
2017,1,0.940625,1.453125,1.1375
2017,2,2.196551724,3.879310345,0.927586207
2017,3,0.178125,1.621875,3.190625
2017,4,4.329032258,3.993548387,3.316129032
2017,5,8.940625,2.953125,6.45
2017,6,2.7,5.222580645,8.348387097
2017,7,1.978125,1.4,4.571875
2017,8,1.35,0.5625,3.11875
2017,9,2.351612903,2.816129032,7.987096774
2017,10,0.3125,3.13125,5.61875
2017,11,3.490322581,2.432258065,2.935483871
2017,12,3.6375,0.74375,1.584375
2018,1,0.03125,0.03125,0.03125
2018,2,0.362068966,0.268965517,1.096551724
2018,3,0.09375,0.746875,7.61875
2018,4,1.474193548,2.429032258,6.432258065
2018,5,6.275,4.496875,6.071875
2018,6,7.138709677,4.677419355,12.69677419
2018,7,0.465625,0.24375,4.74375
2018,8,1.221875,1.125,1.45625
2018,9,3.938709677,0.651612903,7.816129032
2018,10,6.390625,3.528125,6.475
2018,11,4.293548387,1.35483871,0.680645161
2018,12,1.378125,0.396875,0.578125
2019,1,0.14375,0.03125,0.43125
2019,2,0.931034483,1.175862069,2.968965517
2019,3,3.4,2.96875,2.15
2019,4,4.129032258,4.035483871,5.380645161
2019,5,7.70625,8.515625,nan
2019,6,2.890322581,4.987096774,10.61935484
2019,7,1.1625,1.915625,3.178125
2019,8,1.021875,0.94375,1.165625
2019,9,4.029032258,2.416129032,7.2
2019,10,11.50625,6.56875,12.671875
2019,11,2.164516129,3.280645161,0.874193548
2019,12,1.0875,0.375,2.165625
2020,1,0.03125,3.280645161,0.0375
2020,2,0.073333333,0.375,0.066666667
2020,3,nan,0.03125,3.503125
2020,4,nan,0.133333333,4.503225806
2020,5,nan,1.3,6.009375
2020,6,nan,1.722580645,8.783870968
2020,7,nan,4.671875,2.35625
2020,8,nan,5.558064516,0.609375
2020,9,nan,0.85625,6.322580645
2020,10,nan,3.04375,6.80625
2020,11,nan,1.851612903,2.535483871
2020,12,nan,0.375,1.24375
2021,1,nan,0.88125,2.30625
2021,2,nan,0.637931034,0.448275862
2021,3,nan,0.525,6.803125
2021,4,nan,0.148387097,5.858064516
2021,5,nan,0.475,2.8125
2021,6,nan,3.870967742,9.690322581
2021,7,nan,0.6875,4.771875
2021,8,nan,1.0125,3.98125
2021,9,6.522580645,3.041935484,13.13870968
2021,10,nan,0.6625,11.7375
2021,11,nan,1.087096774,2.687096774
2021,12,nan,1.046875,0.375
2022,1,0.03125,0.03125,0.03125
2022,2,0.762068966,0.068965517,0.996551724
2022,3,nan,0.140625,4.13125
2022,4,5.464516129,7.612903226,2.867741935
2022,5,8.059375,9.13125,5.8125
2022,6,nan,4.638709677,6.561290323
2022,7,nan,2.865625,3.46875
2022,8,nan,1.3,3.871875
2022,9,nan,5.667741935,12.75806452
2022,10,nan,3.371875,3.30625
2022,11,nan,4.451612903,2.574193548
2022,12,nan,0.621875,2.4
